name,index,site,url,warm_time,temperature
cores2,13,yandex,http___yandex.ru_touchsearch?text_science,1563,46.000000
cores2,14,yandex,http___yandex.ru_touchsearch?text_science,1565,46.000000
cores2,15,yandex,http___yandex.ru_touchsearch?text_science,1589,46.000000
cores2,16,yandex,http___yandex.ru_touchsearch?text_science,1615,46.000000
cores2,17,yandex,http___yandex.ru_touchsearch?text_science,1815,46.000000
cores2,18,yandex,http___yandex.ru_touchsearch?text_science,1641,46.000000
cores2,19,yandex,http___yandex.ru_touchsearch?text_science,1619,48.000000
cores2,20,yandex,http___yandex.ru_touchsearch?text_science,1779,46.000000
cores2,21,yandex,http___yandex.ru_touchsearch?text_science,1623,46.000000
cores2,22,yandex,http___yandex.ru_touchsearch?text_science,1636,46.000000
cores2,23,yandex,http___yandex.ru_touchsearch?text_science,1763,48.000000
cores2,24,yandex,http___yandex.ru_touchsearch?text_science,1613,48.000000
cores2,25,yandex,http___yandex.ru_touchsearch?text_science,1623,48.000000
cores2,26,yandex,http___yandex.ru_touchsearch?text_science,1561,48.000000
cores2,27,yandex,http___yandex.ru_touchsearch?text_science,1590,48.000000
cores2,28,yandex,http___yandex.ru_touchsearch?text_science,1560,48.000000
cores2,0,baidu,http___www.baidu.com_s?word_google,681,37.000000
cores2,1,baidu,http___www.baidu.com_s?word_google,665,39.000000
cores2,2,baidu,http___www.baidu.com_s?word_google,704,41.000000
cores2,3,baidu,http___www.baidu.com_s?word_google,675,42.000000
cores2,4,baidu,http___www.baidu.com_s?word_google,677,42.000000
cores2,5,baidu,http___www.baidu.com_s?word_google,686,43.000000
cores2,6,baidu,http___www.baidu.com_s?word_google,665,43.000000
cores2,7,baidu,http___www.baidu.com_s?word_google,679,44.000000
cores2,8,baidu,http___www.baidu.com_s?word_google,682,44.000000
cores2,9,baidu,http___www.baidu.com_s?word_google,725,45.000000
cores2,10,baidu,http___www.baidu.com_s?word_google,679,45.000000
cores2,11,baidu,http___www.baidu.com_s?word_google,759,45.000000
cores2,12,baidu,http___www.baidu.com_s?word_google,667,46.000000
cores2,13,baidu,http___www.baidu.com_s?word_google,674,46.000000
cores2,14,baidu,http___www.baidu.com_s?word_google,692,46.000000
cores2,15,baidu,http___www.baidu.com_s?word_google,673,46.000000
cores2,16,baidu,http___www.baidu.com_s?word_google,673,46.000000
cores2,17,baidu,http___www.baidu.com_s?word_google,674,46.000000
cores2,18,baidu,http___www.baidu.com_s?word_google,677,46.000000
cores2,19,baidu,http___www.baidu.com_s?word_google,679,46.000000
cores2,20,baidu,http___www.baidu.com_s?word_google,687,48.000000
cores2,21,baidu,http___www.baidu.com_s?word_google,692,46.000000
cores2,22,baidu,http___www.baidu.com_s?word_google,814,48.000000
cores2,23,baidu,http___www.baidu.com_s?word_google,725,46.000000
cores2,24,baidu,http___www.baidu.com_s?word_google,740,48.000000
cores2,25,baidu,http___www.baidu.com_s?word_google,673,48.000000
cores2,26,baidu,http___www.baidu.com_s?word_google,705,46.000000
cores2,27,baidu,http___www.baidu.com_s?word_google,681,48.000000
cores2,28,baidu,http___www.baidu.com_s?word_google,696,48.000000
